frame	time	bmRequestType	bRequest	wValue	wIndex	wLength	dataOUT
9313	14.834152000	0x40	192	0x509c	0	2	0002
9315	14.834688000	0x40	192	0x509c	0	2	27ff
9319	14.835212000	0x40	192	0x509c	0	2	0002
9321	14.835761000	0x40	192	0x5066	0	3	9d0111
9323	14.836203000	0xc0	192	0x5066	0	1	
9325	14.837081000	0x40	192	0x509c	0	2	0002
9327	14.837159000	0x40	192	0x5066	0	3	9d0112
9329	14.837617000	0xc0	192	0x5066	0	1	
9331	14.838498000	0x40	192	0x509c	0	2	0002
9333	14.838577000	0x40	192	0x5066	0	3	9d0112
9337	14.839020000	0xc0	192	0x5066	0	1	
9339	14.839910000	0x40	192	0x509c	0	2	0002
9341	14.839996000	0x40	192	0x5066	0	3	9d0111
9343	14.840460000	0xc0	192	0x5066	0	1	
9345	14.841334000	0x40	192	0x509c	0	2	0002
9347	14.841424000	0x40	192	0x509c	0	2	2000
9349	14.841890000	0x40	192	0x5066	0	3	9b0109
9353	14.842429000	0xc0	192	0x5066	0	1	
9363	14.844667000	0x40	192	0x5066	0	3	9b010e
9365	14.845294000	0xc0	192	0x5066	0	1	
9439	14.950553000	0x40	192	0x5066	0	3	9b010e
9441	14.950704000	0xc0	192	0x5066	0	1	
9445	14.951579000	0x40	192	0x509c	0	2	0000
9447	14.951684000	0x40	192	0x5066	0	3	9d0155
9451	14.952224000	0xc0	192	0x5066	0	1	
9453	14.953105000	0x40	192	0x509c	0	2	0000
9455	14.953239000	0x40	192	0x509c	0	2	b3ff
9457	14.953626000	0x40	192	0x509c	0	2	0002
9459	14.954160000	0x40	192	0x509c	0	2	27ff
9461	14.954701000	0x40	192	0x509c	0	2	0002
9465	14.955233000	0x40	192	0x5066	0	3	9d0111
9467	14.955665000	0xc0	192	0x5066	0	1	
9469	14.956578000	0x40	192	0x509c	0	2	0002
9471	14.956681000	0x40	192	0x5066	0	3	9d0112
9473	14.957109000	0xc0	192	0x5066	0	1	
9475	14.957987000	0x40	192	0x509c	0	2	0002
9477	14.958079000	0x40	192	0x5066	0	3	9d0112
9479	14.958511000	0xc0	192	0x5066	0	1	
9483	14.959391000	0x40	192	0x509c	0	2	0002
9485	14.959489000	0x40	192	0x5066	0	3	9d0111
9487	14.959931000	0xc0	192	0x5066	0	1	
9489	14.960831000	0x40	192	0x509c	0	2	0002
9491	14.960903000	0x40	192	0x509c	0	2	2000
9493	14.961375000	0x40	192	0x5066	0	3	9b0109
9495	14.961907000	0xc0	192	0x5066	0	1	
9507	14.964166000	0x40	192	0x5066	0	3	9b010e
9509	14.964797000	0xc0	192	0x5066	0	1	
9585	15.070916000	0x40	192	0x5066	0	3	9b010e
9587	15.071008000	0xc0	192	0x5066	0	1	
